n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata
1,Monza,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Monza,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Napoli,2,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Napoli,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Newcastle,2,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Newcastle,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Nott'm Forest,0,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Nott'm Forest,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Osasuna,1,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Osasuna,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,RB Leipzig,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,RB Leipzig,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Real Madrid,2,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Real Madrid,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Roma,2,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Roma,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Salernitana,0,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Salernitana,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Sampdoria,0,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Sampdoria,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Sassuolo,0,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Sassuolo,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Schalke 04,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Schalke 04,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Sevilla,1,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Sevilla,all,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Sociedad,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Sociedad,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Southampton,0,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Southampton,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Spezia,1,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Spezia,all,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Stuttgart,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Stuttgart,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Torino,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Torino,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Tottenham,2,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Tottenham,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Udinese,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Udinese,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Union Berlin,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Union Berlin,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Valencia,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Valencia,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Valladolid,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Valladolid,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Vallecano,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Vallecano,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Verona,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Verona,all,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Villarreal,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Villarreal,all,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Werder Bremen,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Werder Bremen,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,West Ham,0,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,West Ham,all,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1,Wolfsburg,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Wolfsburg,all,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Wolves,2,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Wolves,all,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1,Almeria,0,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Almeria,2,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Almeria,all,La Liga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Arsenal,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Arsenal,2,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Arsenal,all,Premier League,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Aston Villa,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Aston Villa,2,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Aston Villa,all,Premier League,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Atalanta,0,Serie A,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Atalanta,2,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Atalanta,all,Serie A,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Ath Bilbao,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Ath Bilbao,2,La Liga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
2,Ath Bilbao,all,La Liga,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
1,Ath Madrid,0,La Liga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Ath Madrid,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Ath Madrid,all,La Liga,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
2,Augsburg,0,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Augsburg,all,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Barcelona,0,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Barcelona,1,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Barcelona,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Bayern Munich,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Bayern Munich,1,Bundesliga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
2,Bayern Munich,all,Bundesliga,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Betis,1,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Betis,2,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Betis,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Bochum,1,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
2,Bochum,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Bologna,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Bologna,2,Serie A,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Bologna,all,Serie A,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
2,Bournemouth,0,Premier League,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
2,Bournemouth,all,Premier League,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
1,Brentford,0,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Brentford,2,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Brentford,all,Premier League,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Brighton,0,Premier League,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Brighton,all,Premier League,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Cadiz,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Cadiz,1,La Liga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
2,Cadiz,all,La Liga,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
1,Celta,0,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Celta,2,La Liga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Celta,all,La Liga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Chelsea,0,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Chelsea,2,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Chelsea,all,Premier League,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Cremonese,0,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Cremonese,1,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Cremonese,all,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Crystal Palace,0,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Crystal Palace,1,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Crystal Palace,all,Premier League,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Dortmund,0,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Dortmund,all,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Ein Frankfurt,0,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Ein Frankfurt,2,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Ein Frankfurt,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Elche,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Elche,2,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Elche,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Empoli,1,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Empoli,2,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Empoli,all,Serie A,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
2,Espanol,1,La Liga,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Espanol,all,La Liga,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Everton,0,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Everton,1,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Everton,all,Premier League,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,FC Koln,0,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,FC Koln,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,FC Koln,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Fiorentina,1,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Fiorentina,2,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Fiorentina,all,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Freiburg,0,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Freiburg,1,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Freiburg,all,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Fulham,1,Premier League,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Fulham,all,Premier League,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Getafe,0,La Liga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Getafe,1,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Getafe,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Girona,2,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Girona,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Hertha,0,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
2,Hertha,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Hoffenheim,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Hoffenheim,2,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Hoffenheim,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
2,Inter,2,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Inter,all,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Juventus,1,Serie A,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Juventus,2,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
2,Juventus,all,Serie A,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
2,Lazio,1,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Lazio,all,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Lecce,0,Serie A,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Lecce,1,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
2,Lecce,all,Serie A,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
1,Leeds,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Leeds,2,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Leeds,all,Premier League,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Leicester,0,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Leicester,1,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Leicester,all,Premier League,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Leverkusen,0,Bundesliga,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
1,Leverkusen,1,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,Leverkusen,all,Bundesliga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Liverpool,1,Premier League,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
2,Liverpool,all,Premier League,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,M'gladbach,1,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,M'gladbach,2,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
2,M'gladbach,all,Bundesliga,0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2
1,Mainz,0,Bundesliga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Mainz,2,Bundesliga,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
2,Mainz,all,Bundesliga,1,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.5,0.5,2
2,Mallorca,0,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
2,Mallorca,all,La Liga,1,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.5,2
1,Man City,1,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Man City,2,Premier League,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2
2,Man City,all,Premier League,2,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2
1,Man United,0,Premier League,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1,Man United,1,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
